Police Action,District,N,Number of Records,Period,Station,Breach Type,Country,Alert Level,Area
Prosecution,Eastern,3,1,COVID-19,Bay View,Health Act Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,5,1,COVID-19,Flaxmere,Health Act Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,7,1,COVID-19,Hastings,Health Act Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,1,1,COVID-19,Havelock North,Health Act Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,14,1,COVID-19,Napier,Health Act Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,1,1,COVID-19,Taradale,Health Act Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,6,1,COVID-19,Waipukurau,Health Act Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,22,1,COVID-19,Gisborne,Health Act Breach,New Zealand,4,Tairawhiti Area
Prosecution,Eastern,2,1,COVID-19,Nuhaka,Health Act Breach,New Zealand,4,Tairawhiti Area
Prosecution,Eastern,1,1,COVID-19,Ruatoria,Health Act Breach,New Zealand,4,Tairawhiti Area
Prosecution,Eastern,1,1,COVID-19,Tokomaru Bay,Health Act Breach,New Zealand,4,Tairawhiti Area
Prosecution,Eastern,22,1,COVID-19,Wairoa,Health Act Breach,New Zealand,4,Tairawhiti Area
Prosecution,Northland,1,1,COVID-19,Kaeo,Health Act Breach,New Zealand,4,Far North Area
Prosecution,Northland,3,1,COVID-19,Kaikohe,Health Act Breach,New Zealand,4,Far North Area
Prosecution,Northland,9,1,COVID-19,Kaitaia,Health Act Breach,New Zealand,4,Far North Area
Prosecution,Northland,3,1,COVID-19,Kawakawa,Health Act Breach,New Zealand,4,Far North Area
Prosecution,Northland,3,1,COVID-19,Kamo Cpc,Health Act Breach,New Zealand,4,Whangarei Area
Prosecution,Northland,18,1,COVID-19,Whangarei,Health Act Breach,New Zealand,4,Whangarei Area
Prosecution,Southern,1,1,COVID-19,Balclutha,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,1,1,COVID-19,Dunedin Central,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,3,1,COVID-19,Dunedin North,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,4,1,COVID-19,Dunedin South,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,3,1,COVID-19,Kaikorai Valley,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,1,1,COVID-19,Mosgiel,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,3,1,COVID-19,Oamaru,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,3,1,COVID-19,Palmerston,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,2,1,COVID-19,Port Chalmers,Health Act Breach,New Zealand,4,Otago Coastal Area
Prosecution,Southern,9,1,COVID-19,Alexandra,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Prosecution,Southern,3,1,COVID-19,Cromwell,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Prosecution,Southern,1,1,COVID-19,Omakau,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Prosecution,Southern,10,1,COVID-19,Queenstown,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Prosecution,Southern,1,1,COVID-19,Wanaka,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Prosecution,Southern,4,1,COVID-19,Gore,Health Act Breach,New Zealand,4,Southland Area
Prosecution,Southern,9,1,COVID-19,Invercargill Central,Health Act Breach,New Zealand,4,Southland Area
Prosecution,Southern,1,1,COVID-19,Lumsden,Health Act Breach,New Zealand,4,Southland Area
Prosecution,Southern,1,1,COVID-19,Mataura,Health Act Breach,New Zealand,4,Southland Area
Prosecution,Southern,1,1,COVID-19,Te Anau,Health Act Breach,New Zealand,4,Southland Area
Prosecution,Southern,1,1,COVID-19,Wyndham,Health Act Breach,New Zealand,4,Southland Area
Prosecution,Tasman,11,1,COVID-19,Blenheim,Health Act Breach,New Zealand,4,Marlborough Area
Prosecution,Tasman,1,1,COVID-19,Kaikoura,Health Act Breach,New Zealand,4,Marlborough Area
Prosecution,Tasman,6,1,COVID-19,Picton,Health Act Breach,New Zealand,4,Marlborough Area
Prosecution,Tasman,10,1,COVID-19,Nelson Central,Health Act Breach,New Zealand,4,Nelson Bays Area
Prosecution,Tasman,2,1,COVID-19,Richmond,Health Act Breach,New Zealand,4,Nelson Bays Area
Prosecution,Tasman,1,1,COVID-19,Granity,Health Act Breach,New Zealand,4,West Coast Area
Prosecution,Tasman,18,1,COVID-19,Greymouth,Health Act Breach,New Zealand,4,West Coast Area
Prosecution,Tasman,1,1,COVID-19,Westport,Health Act Breach,New Zealand,4,West Coast Area
Prosecution,Waikato,7,1,COVID-19,Hamilton Central,Health Act Breach,New Zealand,4,Hamilton City Area
Prosecution,Waikato,2,1,COVID-19,Hamilton East,Health Act Breach,New Zealand,4,Hamilton City Area
Prosecution,Waikato,2,1,COVID-19,Hamilton West,Health Act Breach,New Zealand,4,Hamilton City Area
Prosecution,Waikato,1,1,COVID-19,Matamata,Health Act Breach,New Zealand,4,Waikato East Area
Prosecution,Waikato,2,1,COVID-19,Morrinsville,Health Act Breach,New Zealand,4,Waikato East Area
Prosecution,Waikato,1,1,COVID-19,Paeroa,Health Act Breach,New Zealand,4,Waikato East Area
Prosecution,Waikato,3,1,COVID-19,Te Aroha,Health Act Breach,New Zealand,4,Waikato East Area
Prosecution,Waikato,1,1,COVID-19,Thames,Health Act Breach,New Zealand,4,Waikato East Area
Prosecution,Waikato,2,1,COVID-19,Waihi,Health Act Breach,New Zealand,4,Waikato East Area
Prosecution,Waikato,1,1,COVID-19,Whangamata,Health Act Breach,New Zealand,4,Waikato East Area
Prosecution,Waikato,4,1,COVID-19,Cambridge,Health Act Breach,New Zealand,4,Waikato West Area
Prosecution,Waikato,3,1,COVID-19,Ngaruawahia,Health Act Breach,New Zealand,4,Waikato West Area
Prosecution,Waikato,2,1,COVID-19,Otorohanga,Health Act Breach,New Zealand,4,Waikato West Area
Prosecution,Waikato,1,1,COVID-19,Te Awamutu,Health Act Breach,New Zealand,4,Waikato West Area
Prosecution,Waitemata,1,1,COVID-19,Glenfield,Health Act Breach,New Zealand,4,Waitemata East Area
Prosecution,Waitemata,1,1,COVID-19,North Shore Policing Centre,Health Act Breach,New Zealand,4,Waitemata East Area
Prosecution,Waitemata,2,1,COVID-19,Takapuna,Health Act Breach,New Zealand,4,Waitemata East Area
Prosecution,Waitemata,1,1,COVID-19,Kumeu/Huapai,Health Act Breach,New Zealand,4,Waitemata North Area
Prosecution,Waitemata,2,1,COVID-19,Orewa,Health Act Breach,New Zealand,4,Waitemata North Area
Prosecution,Waitemata,1,1,COVID-19,Wellsford,Health Act Breach,New Zealand,4,Waitemata North Area
Prosecution,Waitemata,8,1,COVID-19,Henderson,Health Act Breach,New Zealand,4,Waitemata West Area
Prosecution,Waitemata,1,1,COVID-19,Massey,Health Act Breach,New Zealand,4,Waitemata West Area
Prosecution,Waitemata,4,1,COVID-19,New Lynn,Health Act Breach,New Zealand,4,Waitemata West Area
Prosecution,Wellington,25,1,COVID-19,Lower Hutt,Health Act Breach,New Zealand,4,Hutt Valley Area
Prosecution,Wellington,8,1,COVID-19,Naenae,Health Act Breach,New Zealand,4,Hutt Valley Area
Prosecution,Wellington,1,1,COVID-19,Petone,Health Act Breach,New Zealand,4,Hutt Valley Area
Prosecution,Wellington,8,1,COVID-19,Upper Hutt,Health Act Breach,New Zealand,4,Hutt Valley Area
Prosecution,Wellington,15,1,COVID-19,Wainuiomata,Health Act Breach,New Zealand,4,Hutt Valley Area
Prosecution,Wellington,16,1,COVID-19,Kapiti,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Prosecution,Wellington,5,1,COVID-19,Porirua Central,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Prosecution,Wellington,19,1,COVID-19,Waitangirua,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Prosecution,Wellington,2,1,COVID-19,Featherston,Health Act Breach,New Zealand,4,Wairarapa Area
Prosecution,Wellington,1,1,COVID-19,Masterton,Health Act Breach,New Zealand,4,Wairarapa Area
Prosecution,Wellington,10,1,COVID-19,Johnsonville,Health Act Breach,New Zealand,4,Wellington Area
Prosecution,Wellington,13,1,COVID-19,Kilbirnie,Health Act Breach,New Zealand,4,Wellington Area
Prosecution,Wellington,33,1,COVID-19,Wellington Central,Health Act Breach,New Zealand,4,Wellington Area
Verbal Warning,Auckland City,25,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,4,Auckland Central Area
Verbal Warning,Auckland City,1,1,COVID-19,Waiheke Island,Health Act Breach,New Zealand,4,Auckland Central Area
Verbal Warning,Auckland City,2,1,COVID-19,Glen Innes,Health Act Breach,New Zealand,4,Auckland East Area
Verbal Warning,Auckland City,3,1,COVID-19,Mount Wellington,Health Act Breach,New Zealand,4,Auckland East Area
Verbal Warning,Auckland City,6,1,COVID-19,Newmarket,Health Act Breach,New Zealand,4,Auckland East Area
Verbal Warning,Auckland City,7,1,COVID-19,Onehunga,Health Act Breach,New Zealand,4,Auckland East Area
Verbal Warning,Auckland City,8,1,COVID-19,Avondale,Health Act Breach,New Zealand,4,Auckland West Area
Verbal Warning,Auckland City,3,1,COVID-19,Balmoral,Health Act Breach,New Zealand,4,Auckland West Area
Verbal Warning,Auckland City,6,1,COVID-19,Ponsonby,Health Act Breach,New Zealand,4,Auckland West Area
Verbal Warning,Bay Of Plenty,2,1,COVID-19,Edgecumbe,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Opotiki,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,5,1,COVID-19,Whakatane,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,11,1,COVID-19,Rotorua,Health Act Breach,New Zealand,4,Rotorua Area
Verbal Warning,Bay Of Plenty,7,1,COVID-19,Putaruru,Health Act Breach,New Zealand,4,Taupo Area
Verbal Warning,Bay Of Plenty,9,1,COVID-19,Taupo,Health Act Breach,New Zealand,4,Taupo Area
Verbal Warning,Bay Of Plenty,11,1,COVID-19,Tokoroa,Health Act Breach,New Zealand,4,Taupo Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Turangi,Health Act Breach,New Zealand,4,Taupo Area
Verbal Warning,Bay Of Plenty,8,1,COVID-19,Mount Maunganui,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,11,1,COVID-19,Papamoa,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,9,1,COVID-19,Tauranga,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,2,1,COVID-19,Tauranga South,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Verbal Warning,Canterbury,48,1,COVID-19,Christchurch,Health Act Breach,New Zealand,4,Canterbury Metro Area
Verbal Warning,Canterbury,16,1,COVID-19,Christchurch South,Health Act Breach,New Zealand,4,Canterbury Metro Area
Verbal Warning,Canterbury,22,1,COVID-19,Hornby,Health Act Breach,New Zealand,4,Canterbury Metro Area
Verbal Warning,Canterbury,12,1,COVID-19,New Brighton,Health Act Breach,New Zealand,4,Canterbury Metro Area
Verbal Warning,Canterbury,11,1,COVID-19,Papanui,Health Act Breach,New Zealand,4,Canterbury Metro Area
Verbal Warning,Canterbury,1,1,COVID-19,Hanmer Springs,Health Act Breach,New Zealand,4,Canterbury Rural Area
Verbal Warning,Canterbury,1,1,COVID-19,Kaiapoi,Health Act Breach,New Zealand,4,Canterbury Rural Area
Verbal Warning,Canterbury,2,1,COVID-19,Rangiora,Health Act Breach,New Zealand,4,Canterbury Rural Area
Verbal Warning,Canterbury,8,1,COVID-19,Ashburton,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Verbal Warning,Canterbury,1,1,COVID-19,Methven,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Verbal Warning,Canterbury,8,1,COVID-19,Timaru,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Verbal Warning,Central,5,1,COVID-19,Awapuni,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,16,1,COVID-19,Dannevirke,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,1,1,COVID-19,Eketahuna,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,4,1,COVID-19,Feilding,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,2,1,COVID-19,Foxton,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,4,1,COVID-19,Highbury,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,3,1,COVID-19,Levin,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,2,1,COVID-19,Massey University,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,2,1,COVID-19,Norsewood,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,5,1,COVID-19,Otaki,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,2,1,COVID-19,Pahiatua,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,23,1,COVID-19,Palmerston North,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,7,1,COVID-19,Rossmont Cpc,Health Act Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,1,1,COVID-19,Bell Block,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,11,1,COVID-19,Eltham,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,7,1,COVID-19,Fitzroy Cpc,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,9,1,COVID-19,Hawera,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,4,1,COVID-19,Inglewood,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,2,1,COVID-19,Manaia,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,2,1,COVID-19,Mokau,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,17,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,1,1,COVID-19,Okato,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,10,1,COVID-19,Stratford,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,2,1,COVID-19,Waitara,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,11,1,COVID-19,Westown,Health Act Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,1,1,COVID-19,Marton,Health Act Breach,New Zealand,4,Whanganui Area
Verbal Warning,Central,5,1,COVID-19,Ohakune,Health Act Breach,New Zealand,4,Whanganui Area
Verbal Warning,Central,3,1,COVID-19,Raetihi,Health Act Breach,New Zealand,4,Whanganui Area
Verbal Warning,Central,23,1,COVID-19,Taumarunui,Health Act Breach,New Zealand,4,Whanganui Area
Verbal Warning,Central,2,1,COVID-19,Waiouru,Health Act Breach,New Zealand,4,Whanganui Area
Verbal Warning,Central,7,1,COVID-19,Whanganui,Health Act Breach,New Zealand,4,Whanganui Area
Verbal Warning,Counties/Manukau,28,1,COVID-19,Manurewa,Health Act Breach,New Zealand,4,Counties Manukau Central Area
Verbal Warning,Counties/Manukau,3,1,COVID-19,Howick,Health Act Breach,New Zealand,4,Counties Manukau East Area
Verbal Warning,Counties/Manukau,2,1,COVID-19,Otara,Health Act Breach,New Zealand,4,Counties Manukau East Area
Verbal Warning,Counties/Manukau,19,1,COVID-19,Papakura,Health Act Breach,New Zealand,4,Counties Manukau South Area
Verbal Warning,Counties/Manukau,4,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,4,Counties Manukau South Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Tuakau,Health Act Breach,New Zealand,4,Counties Manukau South Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Waiuku,Health Act Breach,New Zealand,4,Counties Manukau South Area
Verbal Warning,Counties/Manukau,7,1,COVID-19,Auckland Airport,Health Act Breach,New Zealand,4,Counties Manukau West Area
Verbal Warning,Counties/Manukau,25,1,COVID-19,Mangere,Health Act Breach,New Zealand,4,Counties Manukau West Area
Verbal Warning,Counties/Manukau,6,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,4,Counties Manukau West Area
Verbal Warning,Counties/Manukau,27,1,COVID-19,Papatoetoe,Health Act Breach,New Zealand,4,Counties Manukau West Area
Verbal Warning,Eastern,2,1,COVID-19,Bay View,Health Act Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,4,1,COVID-19,Flaxmere,Health Act Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,7,1,COVID-19,Hastings,Health Act Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,1,1,COVID-19,Havelock North,Health Act Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,5,1,COVID-19,Napier,Health Act Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,7,1,COVID-19,Waipukurau,Health Act Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,41,1,COVID-19,Gisborne,Health Act Breach,New Zealand,4,Tairawhiti Area
Verbal Warning,Northland,12,1,COVID-19,Kaikohe,Health Act Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,5,1,COVID-19,Kaitaia,Health Act Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,1,1,COVID-19,Kawakawa,Health Act Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,2,1,COVID-19,Kerikeri,Health Act Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,2,1,COVID-19,Kohukohu,Health Act Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,4,1,COVID-19,Onerahi Cpc,Health Act Breach,New Zealand,4,Whangarei Area
Verbal Warning,Northland,7,1,COVID-19,Whangarei,Health Act Breach,New Zealand,4,Whangarei Area
Verbal Warning,Southern,3,1,COVID-19,Balclutha,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,6,1,COVID-19,Dunedin Central,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,3,1,COVID-19,Dunedin North,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,5,1,COVID-19,Dunedin South,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,4,1,COVID-19,Green Island,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,2,1,COVID-19,Kaikorai Valley,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,4,1,COVID-19,Milton,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,2,1,COVID-19,Mosgiel,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,2,1,COVID-19,Oamaru,Health Act Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,5,1,COVID-19,Alexandra,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Verbal Warning,Southern,2,1,COVID-19,Cromwell,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Verbal Warning,Southern,9,1,COVID-19,Queenstown,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Verbal Warning,Southern,2,1,COVID-19,Ranfurly,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Verbal Warning,Southern,1,1,COVID-19,Roxburgh,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Verbal Warning,Southern,2,1,COVID-19,Wanaka,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Verbal Warning,Southern,2,1,COVID-19,Gore,Health Act Breach,New Zealand,4,Southland Area
Verbal Warning,Southern,15,1,COVID-19,Invercargill Central,Health Act Breach,New Zealand,4,Southland Area
Verbal Warning,Southern,3,1,COVID-19,Lumsden,Health Act Breach,New Zealand,4,Southland Area
Verbal Warning,Southern,2,1,COVID-19,Te Anau,Health Act Breach,New Zealand,4,Southland Area
Verbal Warning,Tasman,8,1,COVID-19,Blenheim,Health Act Breach,New Zealand,4,Marlborough Area
Verbal Warning,Tasman,4,1,COVID-19,Havelock,Health Act Breach,New Zealand,4,Marlborough Area
Verbal Warning,Tasman,6,1,COVID-19,Picton,Health Act Breach,New Zealand,4,Marlborough Area
Verbal Warning,Tasman,9,1,COVID-19,Murchison,Health Act Breach,New Zealand,4,Nelson Bays Area
Verbal Warning,Tasman,8,1,COVID-19,Nelson Central,Health Act Breach,New Zealand,4,Nelson Bays Area
Verbal Warning,Tasman,2,1,COVID-19,Richmond,Health Act Breach,New Zealand,4,Nelson Bays Area
Verbal Warning,Tasman,1,1,COVID-19,Wakefield,Health Act Breach,New Zealand,4,Nelson Bays Area
Verbal Warning,Tasman,2,1,COVID-19,Greymouth,Health Act Breach,New Zealand,4,West Coast Area
Verbal Warning,Tasman,1,1,COVID-19,Hokitika,Health Act Breach,New Zealand,4,West Coast Area
Verbal Warning,Tasman,2,1,COVID-19,Reefton,Health Act Breach,New Zealand,4,West Coast Area
Verbal Warning,Tasman,8,1,COVID-19,Westport,Health Act Breach,New Zealand,4,West Coast Area
Verbal Warning,Waikato,15,1,COVID-19,Hamilton Central,Health Act Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,10,1,COVID-19,Hamilton East,Health Act Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,9,1,COVID-19,Hamilton North,Health Act Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,16,1,COVID-19,Hamilton West,Health Act Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,2,1,COVID-19,Matamata,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,4,1,COVID-19,Morrinsville,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,2,1,COVID-19,Ngatea,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,7,1,COVID-19,Paeroa,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,3,1,COVID-19,Tairua,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,3,1,COVID-19,Te Aroha,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,9,1,COVID-19,Thames,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,2,1,COVID-19,Waihi,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,3,1,COVID-19,Whangamata,Health Act Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,1,1,COVID-19,Benneydale,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,4,1,COVID-19,Cambridge,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,4,1,COVID-19,Huntly,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,6,1,COVID-19,Ngaruawahia,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,2,1,COVID-19,Otorohanga,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,1,1,COVID-19,Raglan,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,6,1,COVID-19,Te Awamutu,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,3,1,COVID-19,Te Kauwhata,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,7,1,COVID-19,Te Kuiti,Health Act Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waitemata,1,1,COVID-19,Auckland Harbour Bridge,Health Act Breach,New Zealand,4,Auckland Motorways Area
Verbal Warning,Waitemata,6,1,COVID-19,Albany Cpc,Health Act Breach,New Zealand,4,Waitemata East Area
Verbal Warning,Waitemata,2,1,COVID-19,Browns Bay,Health Act Breach,New Zealand,4,Waitemata East Area
Verbal Warning,Waitemata,11,1,COVID-19,Glenfield,Health Act Breach,New Zealand,4,Waitemata East Area
Verbal Warning,Waitemata,3,1,COVID-19,North Shore Policing Centre,Health Act Breach,New Zealand,4,Waitemata East Area
Verbal Warning,Waitemata,2,1,COVID-19,Takapuna,Health Act Breach,New Zealand,4,Waitemata East Area
Verbal Warning,Waitemata,3,1,COVID-19,Kumeu/Huapai,Health Act Breach,New Zealand,4,Waitemata North Area
Verbal Warning,Waitemata,5,1,COVID-19,Orewa,Health Act Breach,New Zealand,4,Waitemata North Area
Verbal Warning,Waitemata,1,1,COVID-19,Warkworth,Health Act Breach,New Zealand,4,Waitemata North Area
Verbal Warning,Waitemata,3,1,COVID-19,Whangaparaoa,Health Act Breach,New Zealand,4,Waitemata North Area
Verbal Warning,Waitemata,23,1,COVID-19,Henderson,Health Act Breach,New Zealand,4,Waitemata West Area
Verbal Warning,Waitemata,12,1,COVID-19,Massey,Health Act Breach,New Zealand,4,Waitemata West Area
Verbal Warning,Wellington,17,1,COVID-19,Lower Hutt,Health Act Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,4,1,COVID-19,Naenae,Health Act Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,4,1,COVID-19,Petone,Health Act Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,1,1,COVID-19,Upper Hutt,Health Act Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,41,1,COVID-19,Wainuiomata,Health Act Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,6,1,COVID-19,Kapiti,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Verbal Warning,Wellington,7,1,COVID-19,Porirua Central,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Verbal Warning,Wellington,3,1,COVID-19,Waitangirua,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Verbal Warning,Wellington,1,1,COVID-19,Carterton,Health Act Breach,New Zealand,4,Wairarapa Area
Verbal Warning,Wellington,4,1,COVID-19,Masterton,Health Act Breach,New Zealand,4,Wairarapa Area
Verbal Warning,Wellington,1,1,COVID-19,Chatham Islands,Health Act Breach,New Zealand,4,Wellington Area
Verbal Warning,Wellington,11,1,COVID-19,Johnsonville,Health Act Breach,New Zealand,4,Wellington Area
Verbal Warning,Wellington,8,1,COVID-19,Kilbirnie,Health Act Breach,New Zealand,4,Wellington Area
Verbal Warning,Wellington,18,1,COVID-19,Wellington Central,Health Act Breach,New Zealand,4,Wellington Area
Written Warning,Auckland City,113,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,4,Auckland Central Area
Written Warning,Auckland City,3,1,COVID-19,Great Barrier Island,Health Act Breach,New Zealand,4,Auckland Central Area
Written Warning,Auckland City,38,1,COVID-19,Waiheke Island,Health Act Breach,New Zealand,4,Auckland Central Area
Written Warning,Auckland City,38,1,COVID-19,Glen Innes,Health Act Breach,New Zealand,4,Auckland East Area
Written Warning,Auckland City,57,1,COVID-19,Mount Wellington,Health Act Breach,New Zealand,4,Auckland East Area
Written Warning,Auckland City,43,1,COVID-19,Newmarket,Health Act Breach,New Zealand,4,Auckland East Area
Written Warning,Auckland City,35,1,COVID-19,Onehunga,Health Act Breach,New Zealand,4,Auckland East Area
Written Warning,Auckland City,72,1,COVID-19,Avondale,Health Act Breach,New Zealand,4,Auckland West Area
Written Warning,Auckland City,42,1,COVID-19,Balmoral,Health Act Breach,New Zealand,4,Auckland West Area
Written Warning,Auckland City,25,1,COVID-19,Ponsonby,Health Act Breach,New Zealand,4,Auckland West Area
